EXO 1:1	Iată numele fiilor lui Israel care au venit în Egipt cu Iacov, fiecare cu familia lui:
EXO 2:3	Nemaiputând să-l ascundă, a luat un coșuleț de papură, l-a uns cu catran și cu smoală, a pus copilul în el și l-a așezat între trestii, pe malul Nilului.
EXO 2:4	Sora copilului stătea la o oarecare depărtare ca să vadă ce i se va întâmpla.
EXO 2:5	Fiica lui Faraon s-a coborât la râul Nil să se scalde, iar însoțitoarele ei se plimbau pe malul râului. Ea a zărit coșulețul în mijlocul trestiilor și a trimis pe roaba ei să-l aducă.
EXO 2:6	L-a deschis și a văzut copilul: era un băiețel care plângea. I s-a făcut milă de el și a zis: „Este unul dintre copiii evreilor.”
EXO 2:7	Atunci sora copilului i-a zis fiicei lui Faraon: „Să mă duc să-ți chem o doică dintre femeile evreice, ca să-ți alăpteze copilul?”
EXO 2:8	„Du-te”, i-a răspuns fiica lui Faraon. Și fata s-a dus și a chemat pe mama copilului.
EXO 2:9	Fiica lui Faraon i-a zis: „Ia copilul acesta, alăptează-mi-l și îți voi da plata.” Femeia a luat copilul și l-a alăptat.
EXO 2:10	Copilul a crescut, iar ea l-a adus fiicei lui Faraon, care l-a adoptat ca fiu. I-a pus numele Moise, „căci”, a zis ea, „l-am scos din ape”.
EXO 2:11	În vremea aceea, Moise, ajungând mare, a ieșit la frații săi și le-a văzut muncile grele. A văzut pe un egiptean lovind pe un evreu dintre frații lui.
EXO 2:12	S-a uitat în toate părțile și, văzând că nu este nimeni, l-a ucis pe egiptean și l-a ascuns în nisip.
EXO 2:13	A ieșit și în ziua următoare, și iată că doi evrei se certau. El i-a zis celui ce nedreptățea: „Pentru ce-l lovești pe semenul tău?”
EXO 2:14	Dar el a răspuns: „Cine te-a pus pe tine domn și judecător peste noi? Vrei să mă ucizi și pe mine cum l-ai ucis pe egiptean?” Moise s-a temut și a zis: „Cu adevărat, lucrul este cunoscut!”
EXO 2:15	Faraon a aflat de lucrul acesta și a căutat să-l ucidă pe Moise. Dar Moise a fugit dinaintea lui Faraon și s-a oprit în țara Madian; și a șezut lângă o fântână.
EXO 2:16	Preotul din Madian avea șapte fiice. Ele au venit să scoată apă și au umplut jgheaburile ca să adape turma tatălui lor.
EXO 2:17	Dar păstorii au venit și le-au alungat. Atunci Moise s-a ridicat, le-a sărit în ajutor și le-a adăpat turma.
EXO 2:18	Când s-au întors ele la Reuel, tatăl lor, el le-a întrebat: „Pentru ce v-ați întors așa de curând astăzi?”
EXO 2:19	Ele au răspuns: „Un om egiptean ne-a scăpat din mâna păstorilor, ba chiar ne-a scos apă și a adăpat turma.”
EXO 2:20	El le-a zis fiicelor sale: „Și unde este? De ce ați lăsat pe omul acela acolo? Chemați-l să mănânce pâine!”
EXO 2:21	Moise a fost de acord să locuiască la omul acela, iar el i-a dat pe fiica sa Sefora de nevastă lui Moise.
EXO 2:22	Ea a născut un fiu, căruia el i-a pus numele Gherșom, „căci”, a zis el, „locuiesc ca străin într-o țară străină”.
EXO 2:23	După multă vreme, împăratul Egiptului a murit. Fiii lui Israel suspinau încă din cauza robiei și strigau, iar strigătul lor din mijlocul robiei s-a suit până la Dumnezeu.
EXO 2:24	Dumnezeu a auzit suspinele lor și Și-a adus aminte de legământul Său cu Avraam, cu Isaac și cu Iacov.
EXO 2:25	Dumnezeu a privit spre fiii lui Israel și Dumnezeu i-a recunoscut.
EXO 3:1	Moise păștea turma tatălui soacrei sale, Ietro, preotul Madianului. A mânat turma dincolo de pustiu și a ajuns la muntele lui Dumnezeu, la Horeb.
EXO 3:2	Îngerul DOMNULUI i s-a arătat într-o flacără de foc, din mijlocul unui rug. Moise s-a uitat și iată că rugul ardea în foc, dar rugul nu se mistuia.
EXO 3:3	Moise a zis: „Am să mă întorc să văd această priveliște minunată: de ce nu se mistuie rugul.”
EXO 3:4	DOMNUL a văzut că el se întoarce să vadă; și Dumnezeu l-a chemat din mijlocul rugului și a zis: „Moise! Moise!” El a răspuns: „Iată-mă!”
EXO 3:5	Dumnezeu a zis: „Nu te apropia de locul acesta! Scoate-ți încălțămintea din picioare, căci locul pe care stai este un pământ sfânt.”
EXO 3:6	Apoi a zis: „Eu sunt Dumnezeul tatălui tău, Dumnezeul lui Avraam, Dumnezeul lui Isaac și Dumnezeul lui Iacov.” Moise și-a ascuns fața, căci se temea să se uite la Dumnezeu.
EXO 3:7	DOMNUL a zis: „Am văzut suferința poporului Meu care este în Egipt și am auzit strigătele pe care le scoate din cauza supraveghetorilor lui; căci îi cunosc durerile.
EXO 3:8	M-am coborât ca să-l izbăvesc din mâna egiptenilor și să-l scot din țara aceasta într-o țară bună și întinsă, într-o țară în care curge lapte și miere, în ținutul canaaniților, hitiților, amoriților, fereziților, heviților și iebusiților.
EXO 3:9	Acum iată că strigătul fiilor lui Israel a ajuns până la Mine și am văzut asuprirea cu care îi chinuiesc egiptenii.
EXO 3:10	Acum vino, te voi trimite la Faraon, și vei scoate din Egipt pe poporul Meu, pe fiii lui Israel!”
EXO 3:11	Moise I-a zis lui Dumnezeu: „Cine sunt eu, ca să mă duc la Faraon și să scot pe fiii lui Israel din Egipt?”
EXO 3:12	Dumnezeu a zis: „Eu voi fi cu tine; și acesta va fi pentru tine semnul că Eu te-am trimis: după ce vei scoate poporul din Egipt, vă veți închina lui Dumnezeu pe muntele acesta.”
EXO 3:13	Moise I-a zis lui Dumnezeu: „Iată, când voi merge la fiii lui Israel și le voi spune: «Dumnezeul părinților voștri m-a trimis la voi», iar ei mă vor întreba: «Care este Numele Lui?», ce le voi răspunde?”
EXO 3:14	Dumnezeu i-a zis lui Moise: „EU SUNT CEL CE SUNT.” Apoi a zis: „Așa să le vorbești fiilor lui Israel: «EU SUNT m-a trimis la voi!»”
EXO 3:15	Dumnezeu i-a mai zis lui Moise: „Așa să vorbești fiilor lui Israel: «DOMNUL (YHWH), Dumnezeul părinților voștri, Dumnezeul lui Avraam, Dumnezeul lui Isaac și Dumnezeul lui Iacov, m-a trimis la voi. Acesta este Numele Meu pentru veșnicie, acesta este Numele Meu din generație în generație!»
EXO 3:16	Du-te, strânge pe bătrânii lui Israel și spune-le: «DOMNUL, Dumnezeul părinților voștri, Dumnezeul lui Avraam, al lui Isaac și al lui Iacov, mi s-a arătat și a zis: V-am cercetat și am văzut ce vi se face în Egipt,
EXO 3:17	și am zis: Vă voi scoate din suferința Egiptului și vă voi duce în țara canaaniților, hitiților, amoriților, fereziților, heviților și iebusiților, într-o țară în care curge lapte și miere.»
EXO 3:18	Ei vor asculta de glasul tău; și te vei duce, tu și bătrânii lui Israel, la împăratul Egiptului și îi veți spune: «DOMNUL, Dumnezeul evreilor, ne-a întâmpinat. Lasă-ne să mergem cale de trei zile în pustiu, ca să aducem jertfe DOMNULUI, Dumnezeul nostru.»
EXO 3:19	Știu că împăratul Egiptului nu vă va lăsa să plecați decât silit de o mână puternică.
EXO 3:20	Eu Îmi voi întinde mâna și voi lovi Egiptul cu toate minunile Mele pe care le voi face în mijlocul lui; după aceea vă va lăsa să plecați.
EXO 3:21	Voi face ca poporul acesta să capete trecere în ochii egiptenilor; și când veți pleca, nu veți pleca cu mâinile goale.
EXO 3:22	Fiecare femeie va cere de la vecina ei și de la cea care locuiește în casa ei vase de argint, vase de aur și haine, cu care vă veți îmbrăca fiii și fiicele. Așa veți jefui pe egipteni.”
EXO 4:1	Moise a răspuns și a zis: „Dar iată că ei nu mă vor crede și nu vor asculta de glasul meu, ci vor zice: «Nu ți s-a arătat DOMNUL!»”
EXO 4:2	DOMNUL i-a zis: „Ce ai în mână?” El a răspuns: „Un toiag.”
EXO 4:3	DOMNUL a zis: „Aruncă-l pe pământ!” El l-a aruncat pe pământ și toiagul s-a prefăcut într-un șarpe. Moise fugea dinaintea lui.
EXO 4:4	DOMNUL i-a zis lui Moise: „Întinde-ți mâna și apucă-l de coadă!” El și-a întins mâna și l-a apucat, și șarpele s-a prefăcut iarăși într-un toiag în mâna lui.
EXO 4:5	„Aceasta este”, a zis DOMNUL, „ca să creadă că ți s-a arătat DOMNUL, Dumnezeul părinților lor, Dumnezeul lui Avraam, Dumnezeul lui Isaac și Dumnezeul lui Iacov.”
EXO 4:6	DOMNUL i-a mai zis: „Bagi-ți mâna în sân!” El și-a băgat mâna în sân; apoi a scos-o și iată că mâna era acoperită de lepră, albă ca zăpada.
EXO 4:7	DOMNUL a zis: „Bagi-ți din nou mâna în sân!” El și-a băgat din nou mâna în sân; apoi a scos-o din sân și iată că se făcuse iarăși cum era carnea lui.
EXO 4:8	„Dacă nu te vor crede”, a zis DOMNUL, „și nu vor asculta de glasul primului semn, te vor crede la glasul celui de-al doilea semn.
EXO 4:9	Iar dacă nu vor crede nici cele două semne și nu vor asculta de glasul tău, vei lua apă din Nil și o vei turna pe uscat; și apa pe care o vei lua din Nil se va preface în sânge pe uscat.”
EXO 4:10	Moise I-a zis DOMNULUI: „Ah, Doamne! Eu nu sunt un om cu vorbirea ușoară, nici de ieri, nici de alaltăieri, nici de când vorbești Tu robului Tău; căci vorbirea mea este zăbavnică și limba mea este încetinită.”
EXO 4:11	DOMNUL i-a zis: „Cine a făcut gura omului? Sau cine face pe om mut sau surd, cu vedere sau orb? Oare nu Eu, DOMNUL?
EXO 4:12	Du-te dar acum; Eu voi fi cu gura ta și te voi învăța ce să vorbești.”
EXO 4:13	Moise a zis: „Ah, Doamne! Trimite, te rog, prin cine vei vrea să trimiți!”
EXO 4:14	Atunci DOMNUL S-a aprins de mânie împotriva lui Moise și a zis: „Oare nu este fratele tău Aaron, levitul? Știu că el vorbește bine. Iată că el însuși îți iese în întâmpinare și, când te va vedea, se va bucura în inima lui.
EXO 4:15	Tu îi vei vorbi și vei pune cuvintele în gura lui; iar Eu voi fi cu gura ta și cu gura lui și vă voi învăța ce să faceți.
EXO 4:16	El va vorbi poporului pentru tine; el îți va fi gură, iar tu îi vei fi ca Dumnezeu.
EXO 4:17	Ia în mână toiagul acesta cu care vei face semnele.”
EXO 4:18	Moise a plecat, s-a întors la Ietro, soacrul său, și i-a zis: „Lăsa-mă, te rog, să mă întorc la frații mei care sunt în Egipt, ca să văd dacă mai sunt în viață.” Ietro i-a zis lui Moise: „Du-te în pace!”
EXO 4:19	DOMNUL i-a zis lui Moise în Madian: „Du-te, întoarce-te în Egipt, căci toți oamenii care îți căutau viața au murit.”
EXO 4:20	Moise și-a luat nevasta și fiii, i-a suit pe un măgar și s-a întors în țara Egiptului. Moise a luat în mână și toiagul lui Dumnezeu.
EXO 4:21	DOMNUL i-a zis lui Moise: „Plecând ca să te întorci în Egipt, vezi să faci înaintea lui Faraon toate minunile pe care ți le-am pus în mână. Dar Eu îi voi împietri inima și nu va lăsa poporul să plece.
EXO 4:22	Tu îi vei spune lui Faraon: «Așa vorbește DOMNUL: Israel este fiul Meu, întâiul Meu născut.
EXO 4:23	Îți spun: Lasă pe fiul Meu să plece, ca să-Mi slujească; dar dacă refuzi să-l lași să plece, iată că îl voi ucide pe fiul tău, pe întâiul tău născut.»”
EXO 4:24	În timpul călătoriei, într-un loc de popas, DOMNUL l-a întâmpinat pe Moise și a căutat să-l omoare.
EXO 4:25	Sefora a luat o piatră ascuțită, a tăiat împrejur pe fiul ei și i-a atins picioarele lui Moise, zicând: „Cu adevărat, tu ești un mire de sânge pentru mine!”
EXO 4:26	Și DOMNUL l-a lăsat. Atunci a zis ea: „Mire de sânge!”, din cauza tăierii împrejur.
EXO 4:27	DOMNUL i-a zis lui Aaron: „Du-te în pustiu în întâmpinarea lui Moise!” El s-a dus, l-a întâmpinat la muntele lui Dumnezeu și l-a sărutat.
EXO 4:28	Moise i-a spus lui Aaron toate cuvintele DOMNULUI, Care-l trimisese, și toate semnele pe care-l poruncise să le facă.
EXO 4:29	Moise și Aaron au plecat și au strâns pe toți bătrânii fiilor lui Israel.
EXO 4:30	Aaron a depănat toate cuvintele pe care le spusese DOMNUL lui Moise și a făcut semnele înaintea poporului.
EXO 4:31	Poporul a crezut. Au înțeles că DOMNUL cercetase pe fiii lui Israel și văzuse suferința lor; și s-au plecat și s-au închinat.
EXO 5:1	După aceea, Moise și Aaron s-au dus la Faraon și i-au zis: „Așa vorbește DOMNUL, Dumnezeul lui Israel: «Lasă pe poporul Meu să plece, ca să-Mi țină o sărbătoare în pustiu!»”
EXO 5:2	Faraon a răspuns: „Cine este DOMNUL, ca să ascult de glasul Lui și să las pe Israel să plece? Nu-L cunosc pe DOMNUL și nu voi lăsa pe Israel să plece!”
EXO 5:3	Ei au zis: „Dumnezeul evreilor ne-a întâmpinat. Lasă-ne, te rugăm, să mergem cale de trei zile în pustiu, ca să aducem jertfe DOMNULUI, Dumnezeul nostru, ca să nu ne lovească cu ciumă sau cu sabie!”
EXO 5:4	Împăratul Egiptului le-a zis: „Moise și Aaron, de ce abateți poporul de la munci? Duceți-vă la sarcinile voastre!”
EXO 5:5	Faraon a mai zis: „Iată că poporul țării este acum numeros, și voi îi faceți să-și întrerupă sarcinile!”
EXO 5:6	În aceeași zi, Faraon a dat poruncă supraveghetorilor poporului și ispravnicilor, zicând:
EXO 5:7	„Să nu mai dați poporului paie ca mai înainte pentru facerea cărămizilor; să se ducă ei înșiși să-și strângă paie!
EXO 5:8	Totuși, să le cereți același număr de cărămizi pe care le făceau mai înainte, fără să le scădeți nimic; căci sunt leneși, de aceea strigă și zic: «Haidem să aducem jertfe Dumnezeului nostru!»
EXO 5:9	Să se apese munci grele peste oamenii aceștia, ca să aibă de lucru și să nu mai plece urechea la cuvinte amăgitoare!”
EXO 5:10	Supraveghetorii poporului și ispravnicii au ieșit și au vorbit poporului, zicând: „Așa vorbește Faraon: «Nu vă mai dau paie!
EXO 5:11	Duceți-vă voi înșiși și strângeți-vă paie de unde veți găsi; dar din munca voastră nu se scade nimic!»”
EXO 5:12	Poporul s-a răspândit în toată țara Egiptului ca să strângă miriște în loc de paie.
EXO 5:13	Supraveghetorii îi zoreau, zicând: „Isprăviți-vă lucrarea, sarcina fiecărei zile, ca și atunci când erau paie!”
EXO 5:14	Ispravnicii fiilor lui Israel, pe care îi puseseră peste ei supraveghetorii lui Faraon, erau bătuți și li se zicea: „Pentru ce n-ați isprăvit ieri și azi numărul de cărămizi rânduit, ca mai înainte?”
EXO 5:15	Ispravnicii fiilor lui Israel s-au dus să strige la Faraon, zicând: „Pentru ce te porți așa cu robii tăi?
EXO 5:16	Nu se mai dau paie robilor tăi, și totuși ni se zice: «Faceți cărămizi!» Iată că robii tăi sunt bătuți, deși vinovată este tabăra ta.”
EXO 5:17	Faraon a răspuns: „Sunteți leneși, leneși! De aceea ziceți: «Haidem să aducem jertfe DOMNULUI!»
EXO 5:18	Acum duceți-vă și lucrați! Nu vi se vor da paie, dar veți preda același număr de cărămizi!”
EXO 5:19	Ispravnicii fiilor lui Israel se vedeau în mare strandoare când li se zicea: „Nu scădeți nimic din cărămizile voastre, din sarcina fiecărei zile!”
EXO 5:20	Ieșind de la Faraon, i-au întâlnit pe Moise și pe Aaron, care îi așteptau.
EXO 5:21	Și le-au zis: „Să vă vadă DOMNUL și să judece! Căci ne-ați făcut urâți înaintea lui Faraon și înaintea slujitorilor lui și le-ați pus sabia în mână ca să ne ucidă!”
EXO 5:22	Moise S-a întors la DOMNUL și a zis: „Doamne, pentru ce ai făcut rău acestui popor? De ce m-ai trimis?
EXO 5:23	De când m-am dus la Faraon ca să-i vorbesc în Numele Tău, el face rău acestui popor, și Tu n-ai izbăvit nicidecum pe poporul Tău!”
EXO 6:1	The DOMNUL i-a zis lui Moise, Now you shall see what I will do to Faraon, for by a strong mână he shall let them să plece, and by a strong mână he shall drive them out of his țară.
EXO 6:2	Dumnezeu a vorbit lui Moise, and i-a zis lui him, Eu sunt the DOMNUL. (text revizuit în limba română cu diacritice)
EXO 6:3	I appeared to Abraham, to Isaac, and to Jacob, as Dumnezeu Almighty; but by my name the DOMNUL I was not known to them. (text revizuit în limba română cu diacritice)
EXO 6:4	I have also established my covenant with them, to give them the țară of Canaan, the țară of their travels, in which they lived as aliens.
EXO 6:5	Moreover I have heard the groaning of the children of Israel, whom the Egiptians keep in bondage, and I have remembered my covenant. (text revizuit în limba română cu diacritice)
EXO 6:6	Therefore tell the children of Israel, ‘Eu sunt the DOMNUL, and I will bring you out from under the burdens of the Egiptians, and I will rid you out of their bondage, and I will redeem you with an outstretched arm, and with great judgments. (text revizuit în limba română cu diacritice)
EXO 6:7	I will take you to myself for a people. I will be your Dumnezeu; and you shall know that Eu sunt the DOMNUL your Dumnezeu, who brings you out from under the burdens of the Egiptians. (text revizuit în limba română cu diacritice)
EXO 6:8	I will bring you into the țară which I swore to give to Abraham, to Isaac, and to Jacob; and I will give it to you for a heritage: Eu sunt the DOMNUL.’
EXO 6:9	Moise spoke so to the children of Israel, but they didn’t listen to Moise for anguish of spirit, and for cruel bondage. (text revizuit în limba română cu diacritice)
EXO 6:10	The DOMNUL a vorbit lui Moise, saying, (text revizuit în limba română cu diacritice)
EXO 6:11	Go in, speak to Faraon king of Egipt, that he let the children of Israel să plece out of his țară.
EXO 6:12	Moise spoke before the DOMNUL, saying, Behold, the children of Israel haven’t listened to me. How then shall Faraon listen to me, when I have uncircumcised lips? (text revizuit în limba română cu diacritice)
EXO 6:13	The DOMNUL a vorbit lui Moise and to Aaron, and gave them a command to the children of Israel, and to Faraon king of Egipt, to bring the children of Israel out of the țară of Egipt.
EXO 6:14	These are the heads of their fathers’ houses. The sons of Reuben the firstborn of Israel: Hanoch, and Pallu, Hezron, and Carmi; these are the families of Reuben. (text revizuit în limba română cu diacritice)
EXO 6:15	The sons of Simeon: Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanite woman; these are the families of Simeon. (text revizuit în limba română cu diacritice)
EXO 6:16	These are the names of the sons of Levi according to their generations: Gershon, and Kohath, and Merari; and the years of the life of Levi were one hundred thirty-seven years. (text revizuit în limba română cu diacritice)
EXO 6:17	The sons of Gershon: Libni and Shimei, according to their families. (text revizuit în limba română cu diacritice)
EXO 6:18	The sons of Kohath: Amram, and Izhar, and Hebron, and Uzziel; and the years of the life of Kohath were one hundred thirty-three years. (text revizuit în limba română cu diacritice)
EXO 6:19	The sons of Merari: Mahli and Mushi. These are the families of the Levites according to their generations. (text revizuit în limba română cu diacritice)
EXO 6:20	Amram took Jochebed his father’s sister to himself as wife; and she bore him Aaron and Moise. The years of the life of Amram were one hundred thirty-seven years. (text revizuit în limba română cu diacritice)
EXO 6:21	The sons of Izhar: Korah, and Nepheg, and Zichri. (text revizuit în limba română cu diacritice)
EXO 6:22	The sons of Uzziel: Mishael, Elzaphan, and Sithri. (text revizuit în limba română cu diacritice)
EXO 6:23	Aaron took Elisheba, the daughter of Amminadab, the sister of Nahshon, as his wife; and she bore him Nadab and Abihu, Eleazar and Ithamar. (text revizuit în limba română cu diacritice)
EXO 6:24	The sons of Korah: Assir, Elkanah, and Abiasaph; these are the families of the Korahites. (text revizuit în limba română cu diacritice)
EXO 6:25	Eleazar Aaron’s son took one of the daughters of Putiel as his wife; and she bore him Phinehas. These are the heads of the fathers’ houses of the Levites according to their families. (text revizuit în limba română cu diacritice)
EXO 6:26	These are that Aaron and Moise to whom the DOMNUL a zis, Bring out the children of Israel from the țară of Egipt according to their armies.
EXO 6:27	These are those who a vorbit lui Faraon king of Egipt, to bring out the children of Israel from Egipt. These are that Moise and Aaron. (text revizuit în limba română cu diacritice)
EXO 6:28	On the day when the DOMNUL a vorbit lui Moise in the țară of Egipt,
EXO 6:29	The DOMNUL i-a zis lui Moise, Eu sunt the DOMNUL. Tell Faraon king of Egipt all that I tell you. (text revizuit în limba română cu diacritice)
EXO 6:30	Moise a zis before the DOMNUL, Behold, Eu sunt of uncircumcised lips, and how shall Faraon listen to me? (text revizuit în limba română cu diacritice)
EXO 7:1	The DOMNUL i-a zis lui Moise, Behold, I have made you as Dumnezeu to Faraon; and Aaron your brother shall be your prophet. (text revizuit în limba română cu diacritice)
EXO 7:2	You shall speak all that I command you; and Aaron your brother shall speak to Faraon, that he let the children of Israel să plece out of his țară.
EXO 7:3	I will harden Faraon’s heart, and multiply my signs and my wonders in the țară of Egipt.
EXO 7:4	But Faraon will not listen to you, so I will lay my mână on Egipt, and bring out my armies, poporul Meu the children of Israel, out of the țară of Egipt by great judgments.
EXO 7:5	The Egiptians shall know that Eu sunt the DOMNUL when I întinde my mână on Egipt, and bring the children of Israel out from among them.
EXO 7:6	Moise and Aaron did so. As the DOMNUL commanded them, so they did. (text revizuit în limba română cu diacritice)
EXO 7:7	Moise was eighty years old, and Aaron eighty-three years old, when they a vorbit lui Faraon. (text revizuit în limba română cu diacritice)
EXO 7:8	The DOMNUL a vorbit lui Moise and to Aaron, saying, (text revizuit în limba română cu diacritice)
EXO 7:9	When Faraon speaks to you, saying, ‘Perform a miracle!’ then you shall tell Aaron, ‘Take your rod, and cast it down before Faraon, and it will become a serpent.’  (text revizuit în limba română cu diacritice)
EXO 7:10	Moise and Aaron went in to Faraon, and they did so, as the DOMNUL had commanded. Aaron cast down his rod before Faraon and before his servants, and it became a serpent. (text revizuit în limba română cu diacritice)
EXO 7:11	Then Faraon also called for the wise men and the sorcerers. They also, the magicians of Egipt, did the same thing with their enchantments. (text revizuit în limba română cu diacritice)
EXO 7:12	For they each cast down their rods, and they became serpents; but Aaron’s rod swallowed up their rods. (text revizuit în limba română cu diacritice)
EXO 7:13	Faraon’s heart was hardened, and he didn’t listen to them, as the DOMNUL had spoken. (text revizuit în limba română cu diacritice)
EXO 7:14	The DOMNUL i-a zis lui Moise, Faraon’s heart is stubborn. He refuses to let the people să plece.
EXO 7:15	Go to Faraon in the morning. Behold, he is să pleceing out to the water. You shall stand by the river’s bank to meet him. You shall take the rod which was turned to a serpent in your mână.
EXO 7:16	You shall tell him, ‘The DOMNUL, the Dumnezeu of the Hebrews, has sent me to you, saying, Let poporul Meu să plece, that they may serve me in the wilderness. Behold, until now you haven’t listened.
EXO 7:17	The DOMNUL says, In this you shall know that Eu sunt the DOMNUL. Behold: I will strike with the rod that is in my mână on the waters which are in the river, and they shall be turned to blood.
EXO 7:18	The fish that are in the river will die and the river will become foul. The Egiptians will loathe to drink water from the river. ’  (text revizuit în limba română cu diacritice)
EXO 7:19	The DOMNUL i-a zis lui Moise, Tell Aaron, ‘Take your rod, and întinde your mână over the waters of Egipt, over their rivers, over their streams, and over their pools, and over all their ponds of water, that they may become blood. There will be blood throughout all the țară of Egipt, both in vessels of wood and in vessels of stone.’
EXO 7:20	Moise and Aaron did so, as the DOMNUL commanded; and he lifted up the rod, and struck the waters that were in the river, in the sight of Faraon, and in the sight of his servants; and all the waters that were in the river were turned to blood. (text revizuit în limba română cu diacritice)
EXO 7:21	The fish that were in the river died. The river became foul. The Egiptians couldn’t drink water from the river. The blood was throughout all the țară of Egipt.
EXO 7:22	The magicians of Egipt did the same thing with their enchantments. So Faraon’s heart was hardened, and he didn’t listen to them, as the DOMNUL had spoken. (text revizuit în limba română cu diacritice)
EXO 7:23	Faraon turned and went into his house, and he didn’t even take this to heart. (text revizuit în limba română cu diacritice)
EXO 7:24	All the Egiptians dug around the river for water to drink; for they couldn’t drink the river water. (text revizuit în limba română cu diacritice)
EXO 7:25	Seven days were fulfilled, after the DOMNUL had struck the river. (text revizuit în limba română cu diacritice)
EXO 8:1	The DOMNUL a vorbit lui Moise, Go in to Faraon, and tell him, ‘This is what the DOMNUL says, Let poporul Meu să plece, that they may serve me.
EXO 8:2	If you refuse to let them să plece, behold, I will plague all your borders with frogs.
EXO 8:3	The river will swarm with frogs, which will să plece up and come into your house, and into your bedroom, and on your bed, and into the house of your servants, and on your people, and into your ovens, and into your kneading troughs.
EXO 8:4	The frogs shall come up both on you, and on your people, and on all your servants. ’  (text revizuit în limba română cu diacritice)
EXO 8:5	The DOMNUL i-a zis lui Moise, Tell Aaron, ‘Stretch out your mână with your rod over the rivers, over the streams, and over the pools, and cause frogs to come up on the țară of Egipt.’
EXO 8:6	Aaron stretched out his mână over the waters of Egipt; and the frogs came up, and covered the țară of Egipt.
EXO 8:7	The magicians did the same thing with their enchantments, and brought up frogs on the țară of Egipt.
EXO 8:8	Then Faraon called for Moise and Aaron, and a zis, Entreat the DOMNUL, that he take away the frogs from me and from poporul Meu; and I will let the people să plece, that they may sacrifice to the DOMNUL.
EXO 8:9	Moise i-a zis lui Faraon, I give you the honor of setting the time that I should pray for you, and for your servants, and for your people, that the frogs be destroyed from you and your houses, and remain in the river only. (text revizuit în limba română cu diacritice)
EXO 8:10	Faraon a zis, Tomorrow. Moise a zis, Let it be according to your word, that you may know that there is no one like the DOMNUL our Dumnezeu. (text revizuit în limba română cu diacritice)
EXO 8:11	The frogs shall depart from you, and from your houses, and from your servants, and from your people. They shall remain in the river only. (text revizuit în limba română cu diacritice)
EXO 8:12	Moise and Aaron went out from Faraon, and Moise cried to the DOMNUL concerning the frogs which he had brought on Faraon. (text revizuit în limba română cu diacritice)
