totalClasses	857
totalOccurrences	6550
rank	token	occurrences	possibleDiacritizedForms
159	prefera	4	preferă
160	prostituata	4	prostituată
161	repeta	4	repetă
162	risipa	4	risipă
163	ruptura	4	ruptură
164	scena	4	scenă
165	schema	4	schemă
166	seara	4	seară
167	suma	4	sumă
168	taxa	4	taxă
169	trai	4	trăi
170	umbra	4	umbră
171	urca	4	urcă
172	accepta	3	acceptă
173	arunca	3	aruncă
174	atmosfera	3	atmosferă
175	compara	3	compară
176	confirma	3	confirmă
177	confrunta	3	confruntă
178	copila	3	copilă
179	criza	3	criză
180	cufunda	3	cufundă
181	deplina	3	deplină
182	dumnezeiasca	3	dumnezeiască
183	exterioara	3	exterioară
184	inchina	3	închina|închină
185	insulta	3	insultă
186	intra	3	intră
187	invata	3	învață|învăța
188	invoca	3	invocă
189	lampa	3	lampă
190	legata	3	legată
191	mira	3	miră
192	mreaja	3	mreajă
193	nasca	3	nască
194	ocara	3	ocară
195	personala	3	personală
196	plina	3	plină
197	politica	3	politică
198	priviti	3	priviți
199	procedura	3	procedură
200	rand	3	rând
201	raspunsurile	3	răspunsurile
202	risipiti	3	risipiți
203	sa-i	3	să-i
204	sfiala	3	sfială
205	sinele	3	șinele
206	smirna	3	smirnă
207	spalarea	3	spălarea
208	spalat	3	spălat
209	suna	3	sună
210	trupeasca	3	trupească
211	vesti	3	vești
212	acorda	2	acordă
213	acuzatia	2	acuzația
214	adanci	2	adânci
215	adancimea	2	adâncimea
216	adevarului	2	adevărului
217	afirma	2	afirmă
218	aflata	2	aflată
219	alergam	2	alergăm
220	analiza	2	analiză
221	aplica	2	aplică
222	ascunda	2	ascundă
223	ascunsa	2	ascunsă
224	astazi	2	astăzi
225	asteptarii	2	așteptării
226	asteptarile	2	așteptările
227	ati	2	ați
228	auda	2	audă
229	baza	2	bază
230	bunatatea	2	bunătatea
231	capcana	2	capcană
232	carisma	2	carismă
233	carma	2	cârma
234	caruia	2	căruia
235	castigat	2	câștigat
236	cautati	2	căutați
237	cauti	2	cauți
238	cazut	2	căzut
239	celorlalti	2	celorlalți
240	cerceteaza	2	cercetează
241	cinsteasca	2	cinstească
242	comunica	2	comunică
243	condamna	2	condamnă
244	conduita	2	conduită
245	constrangere	2	constrângere
246	conteaza	2	contează
247	continua	2	continuă
248	creada	2	creadă
249	credinciosia	2	credincioșia
250	crima	2	crimă
251	cunoasca	2	cunoască
252	cunoastem	2	cunoaștem
253	curateasca	2	curățească
254	cursa	2	cursă
255	daduse	2	dăduse
256	deosebita	2	deosebită
257	descoperita	2	descoperită
258	desfiintata	2	desființată
259	directie	2	direcție
260	discutia	2	discuția
261	dispretui	2	disprețui
262	duca	2	ducă
263	duhovniceasca	2	duhovnicească
264	epistola	2	epistolă
265	febra	2	febră
266	finala	2	finală
267	fireasca	2	firească
268	fruntas	2	fruntaș
269	gand	2	gând
270	gaseste	2	găsește
271	goala	2	goală
272	grau	2	grâu
273	hotararea	2	hotărârea
274	hotarat	2	hotărât
275	hraneste	2	hrănește
276	identitatii	2	identității
277	igiena	2	igienă
278	imi	2	îmi
279	imparatesc	2	împărătesc|împărățesc
280	imparatul	2	împăratul
281	impietrirea	2	împietrirea
282	impotrivesc	2	împotrivesc
283	inaintea	2	înaintea
284	inaltarea	2	înălțarea
285	incat	2	încât
286	incep	2	încep
287	incheie	2	încheie
288	inchida	2	închidă
289	informatie	2	informație
290	intalni	2	întâlni
291	intalnirea	2	întâlnirea
292	intors	2	întors
293	intotdeauna	2	întotdeauna
294	intreaba	2	întreabă
295	intrebare	2	întrebare
296	intrebari	2	întrebări
297	intrebarile	2	întrebările
298	inveti	2	înveți
299	invia	2	învia
300	invierii	2	învierii
301	iubesti	2	iubești
302	judecati	2	judecați|judecăți
303	justifica	2	justifică
304	larga	2	largă
305	lasat	2	lăsat
306	lasi	2	lași
307	loveste	2	lovește
308	lunga	2	lungă
309	magarus	2	măgăruș
310	mangaierea	2	mângâierea
311	mania	2	mânia
312	mantuitor	2	mântuitor
313	marii	2	mării
314	marturisesc	2	mărturisesc
315	marturisesti	2	mărturisești
316	marturisi	2	mărturisi
317	masca	2	mască
318	mintii	2	minții
319	miscare	2	mișcare
320	multimii	2	mulțimii
321	mustra	2	mustră
322	nasteri	2	nașteri
323	numeste	2	numește
324	obisnuita	2	obișnuită
325	obisnuite	2	obișnuite
326	obliga	2	obligă
327	ocolesti	2	ocolești
328	ocupa	2	ocupă
329	omori	2	omorî
330	oricarei	2	oricărei
331	osteneala	2	osteneală
332	painii	2	pâinii
333	panica	2	panică
334	para	2	pară
335	parinti	2	părinți
336	participa	2	participă
337	paza	2	pază
338	pazi	2	păzi
339	plans	2	plâns
340	potriveste	2	potrivește
341	potrivita	2	potrivită
342	pozitia	2	poziția
343	pozitie	2	poziție
344	preceda	2	precedă
345	pregatesc	2	pregătesc
346	primeasca	2	primească
347	primita	2	primită
348	produsa	2	produsă
349	proslavirii	2	proslăvirii
350	proslavit	2	proslăvit
351	publica	2	publică
352	purtata	2	purtată
353	putinta	2	putință
354	radacina	2	rădăcina|rădăcină
355	rasturna	2	răsturna
356	recunostinta	2	recunoștința|recunoștință
357	reflecta	2	reflectă
358	repara	2	repară
359	respecta	2	respectă
360	revarsa	2	revarsă
361	rezolva	2	rezolvă
362	ridicati-va	2	ridicați-vă
363	rosteste	2	rostește
364	rupta	2	ruptă
365	rusine	2	rușine
366	rusinii	2	rușinii
367	sanatos	2	sănătos
368	sarcina	2	sarcină
369	scufunda	2	scufundă
370	scurta	2	scurtă
371	scuza	2	scuză
372	secerisul	2	secerișul
373	slaba	2	slabă
374	slabeste	2	slăbește
375	slabiciune	2	slăbiciune
376	slujeste	2	slujește
377	smerita	2	smerită
378	sociala	2	socială
379	sora	2	soră
380	spera	2	speră
381	stergarul	2	ștergarul
382	stim	2	știm
383	strain	2	străin
384	striga	2	strigă
385	strigat	2	strigăt
386	suferinta	2	suferința|suferință
387	suferintei	2	suferinței
388	tarziu	2	târziu
389	tata	2	tată
390	ti	2	ți
391	tinta	2	ținta|țintă
392	tulbura	2	tulbură
393	uita	2	uită
394	urmari	2	urmări
395	usoare	2	ușoare
396	vantului	2	vântului
397	vieti	2	vieți
398	zdrobeste	2	zdrobește
399	zeciuiala	2	zeciuială
400	aceleasi	1	aceleași
