n	reviewId	meaningSha256	ref	original	meaning	evidence	strongLemma	glossLocator
16	511e933ac45e206c59039dc45ec11419022e10e0db773cac4e7ad290abc974ea	sha256:9a0c0ffe0404104d669ddabfbecca219173aea38893f2e6bb1fa219f4fd4af89	Matei 5:27-32	ἐπιθυμέω	a dori, a pofti, a tânji după ceva.	unique	G1937 ἐπιθυμέω	to long for @ TBESG line 2078
17	b1a68d3e53bac70fbe275da1dcdf5b97df3bd48e02d12a7d00936e180ea60bab	sha256:05352c536c8cb49d6daadca845e344d5e138bbca426dccf94b5c6b02515f80be	Matei 5:43-48	τέλειοι	desăvârșiți, compleți, maturi; ajunși la deplinătate.	unique	G5046 τέλειος	perfect @ TBESG line 5198
18	bbaea766977f2f8fbd43668bc9a07e58991774a2eae933b2c5d9e96a092ac8cb	sha256:762cd411783a320e3b3eca165c51bca8f58cf83eaf3e99dd594c8355433ffd1c	Matei 6:5-8	βατταλογήσητε	a bolborosi sau a înșira vorbe goale, ca și cum numărul lor ar produce răspunsul.	unique	βατταλογέω	@ TFLSJ line 1040
19	3e17f318d765113982b9edf885bd71fa160032a8c67abea91ff8a8e231f93e19	sha256:6f20314f9d359527da8acc85dd02c16c2e2ad69173f5da2c2198f888319bfdb3	Matei 6:9-13	ἁγιασθήτω	să fie sfințit, socotit sfânt și cinstit ca atare.	unique	G0037 ἁγιάζω	to sanctify @ TBESG line 130
20	468031bf8b5920caa580d8ec0e4e5f7302117fa28733bf00537b72581bb5cbf4	sha256:dff09cd2a96babe2c16b34226abb7dc19527f7884a87b4420eb1295ee99c6077	Matei 6:9-13	ἐπιούσιον	zilnic, pentru ziua de față sau necesar zilei; termen rar.	unique	G1967 ἐπιούσιος	daily @ TBESG line 2108
21	8a2cb8e30e5e264382f01752809ccf9208d2c747bd81d4348a5af7d2c8950a6d	sha256:938149ef02699d2f2d707410503d07c46cc2516f5e1c060cc6f38a921c4920cd	Matei 6:19-24	μαμωνᾶς	mamona, bogăție sau avere personificată ca stăpân rival.	unique	μαμωνᾶς	@ TFLSJ line 3302
22	3bae0a6584444e1ecc4cefc6bb9888a7ace4dcdd9144fa9d0da01ea1622295e3	sha256:230d01465b771f1e2657e0c4e86f5d3e35b779f74b780d8866702178bb02dedd	Matei 6:25-34	μεριμνάω	a se îngrijora, a fi preocupat sau anxios.	unique	G3309 μεριμνάω	to worry @ TBESG line 3422
23	5fe306d2e610e49ea90f1443e61b6ea7d36872b940d7acb64fa508e450e3af6a	sha256:8dfd7b13212ddca47da656786348d0898d5a877eb289ecee5b64b164d07f5b96	Matei 7:6-12	αἰτεῖτε, ζητεῖτε, κρούετε	cereți, căutați, bateți; trei forme imperative ale verbelor αἰτέω, ζητέω și κρούω.	unique	G0154 + G2212 + G2925 αἰτέω ζητέω κρούω	to ask; to seek; to knock @ TBESG line 252 + TBESG line 2356 + TBESG line 3120
24	7645811b96967af9a15ec98819b16650dbaadfd42b07758e8728ae0989a95537	sha256:bb75de4b31b86319775ab4b0a5d144fcd5c17b61c238758a916ee0ece6438467	Matei 7:15-23	καρπός	rod, fruct; figurat, rezultat.	ambiguous	G2590:καρπός || G7804:καρπός	fruit@TBESG line 2781 || wrist@TBESG line 7584
25	bb3f9fc8b24b5b0f5acfb796eb976f4e67a276edd871d3e2d0ceb47b4d888eec	sha256:97cc4f7027ed32117d04182912e1774311cb273fd32879b74f190b83108be1bd	Matei 7:15-23	ἀνομία	fărădelege, nelegiuire; ceea ce este contrar legii.	unique	G0458 ἀνομία	lawlessness @ TBESG line 565
26	a9e2ccc96107fc80eae37645dd63fba43a5e631162f4a40620b97ae68c3a4f72	sha256:85d1b7ac5669b1a3e5d0b5b5683b88cacb7617411a842d4c01bb931fcfb9fb32	Matei 8:1-4	καθαρίζω	a curăți, a purifica.	unique	G2511 καθαρίζω	to clean @ TBESG line 2692
27	d93936c2301b1b4ee71a07d06b22bbd1c8e02fa096fa84cdf6c5f15a744fa0e0	sha256:c33b3a10bee4dea0233227e3385e8dda5ecd1026ffa33739cbd9201850bd56cf	Matei 9:9-13	ἔλεος	milă, compasiune activă față de cel aflat în nevoie și vină.	unique	G1656 ἔλεος	mercy @ TBESG line 1796
28	9f8e36d6169bfc8da7f57b9c1f696ebc4cc8a1ac6e9964560d111cfb6340e9b0	sha256:e3abd70379b046b5679539895ccb3e08afbb58aa3196918887ebd3d4e92325a1	Matei 9:18-26	θάρσει	îndrăznește, prinde curaj. Cuvânt de apropiere, nu mustrare a fricii.	unique	G2293 θαρσέω	take heart @ TBESG line 2442
29	c54b35e3ce273074b203a2573026bb395f50fb1e455213f7cff8d3407d499d83	sha256:7e5efb8b323d7ed41afd4a620d9faee217405a4600e830febe951ef7f32d1412	Matei 10:24-33	φοβεῖσθε	nu vă temeți / vă temeți; formă a verbului φοβέομαι, «a se teme».	unique	G5399 φοβέω	to fear @ TBESG line 5561
30	e4fb4fdbad36b50e59e2baf47be58e642a88e7050fd836d420f29e605ed840cc	sha256:55ff0377cdd3a3a4d3652d38281780dc80b3d2878bda7186219e6c5b24b1e887	Matei 11:25-27	ἀποκαλύπτω	a descoperi, a da la o parte acoperământul ca ceva să fie cunoscut.	unique	G0601 ἀποκαλύπτω	to reveal @ TBESG line 709
31	7da3418d9c1ebe6a710f92c6ca1cfff8f09dcafb5db7301366424d0d1d14b925	sha256:c7dd7064bdf2ca7d3887bec9ea97df37fa86910676d49c3d907daf324e4dea4d	Matei 11:28-30	ἀνάπαυσις	odihnă, înviorare, încetarea poverii care apasă sufletul.	unique	G0372 ἀνάπαυσις	rest @ TBESG line 478
32	3bbcd6b2c1b301c69210e8a1054a01103369c92ab08fd6a4cfb3ec25a24b96a6	sha256:0fe47ddcd48c46d902edfb0c96883147a89ed0c6b4cfa2f4b46924f970ec8f9a	Matei 11:28-30	ζυγός	jug, piesa purtată pentru muncă; imagine a uceniciei și supunerii unui învățător.	unique	G2218 ζυγός	yoke/scales @ TBESG line 2363
33	e02b4b11a5433555ff204f040eb4fac0089bb3a2fe53a5a7ca006cf6dcecbef2	sha256:afd1674bf982a11a47f523f844bc5223b475569792a22132d1ace10040fe2431	Matei 12:22-32	βλασφημία	hulă, defăimare, vorbire insultătoare; în context, împotriva lui Dumnezeu și a lucrării Sale.	unique	G0988 βλασφημία	blasphemy @ TBESG line 1110
34	065c8e7f748e01949fa6e39488221e2130291ba86c443b238fdfa63aafed5b61	sha256:dcb9165b1dea5ef9ba226e2fa49a3afd1ecf889a7949f9cd4d28326a8c8b74c7	Matei 13:1-23	παραβολή	pildă, comparație așezată alături de realitate pentru a o descoperi și a cere răspuns.	unique	G3850 παραβολή	parable @ TBESG line 3968
35	2cfd2b896e2e8e9f1815542531e21dbe4307bb8f85a0c2fb3ed2807b6f8ed6ab	sha256:03be2007b851772065c933ac685b0103564faff6c6b89694cfc8961a5f228008	Matei 14:22-33	ἐγώ εἰμι	Eu sunt. Poate însemna «Eu sunt, nu altul» și poartă ecoul descoperirii dumnezeiești.	unique	G1473 + G1510 ἐγώ εἰμί	I/we; to be @ TBESG line 1605 + TBESG line 1650
36	18c4b83d880732e1dde81cab87782d35b5dec97de95671f8ef6d25c3f437312d	sha256:ee6a799893528f1e75565cf7d2e4eca7b7d01e2004454cd0ab55239e49d8b7cd	Matei 15:1-20	παράδοσις	tradiție, lucru transmis. Poate sluji adevărului sau îl poate anula, după conținut și autoritate.	unique	G3862 παράδοσις	tradition @ TBESG line 3980
37	6e934b0309eedee57330d19580058622c212ff5012a0a560d6fe93962f98bfa5	sha256:3eee42658ab776363b97b53a2dfd81c30bc91df02c11d697b1016743bf41322f	Matei 15:21-28	Κύριε, υἱὸς Δαυίδ	Doamne, Fiul lui David: mărturisirea mesianică a unei femei dintre neamuri.	unique	G2962 + G5207 + G1138 κύριος υἱός Δαυείδ, Δαυίδ, Δαβίδ	lord: God / lord: master; son; David @ TBESG lines 3157-3158 + TBESG line 5362 + TBESG line 1270
38	93c1ad857bab298c9dbf0c3aa9b79bab835570148c88ed022a312dfaf015df2e	sha256:39d0b7d2a6581fa0db4dfbe7006d38864dd6267045844506d65015f4ff939f28	Matei 16:13-20	πέτρος / πέτρα	Petru / stâncă. Joc de cuvinte legat de persoana și mărturisirea lui Petru; tradițiile creștine explică precis legătura în moduri diferite.	unique	G4074 + G4073 Πέτρος πέτρα	Peter; rock @ TBESG line 4196 + TBESG line 4195
39	cdced7dab4dc0fff7a0a6f8a350e3747fa1b2d7406f898c4cadbb265273efe08	sha256:61c3fd4d94293ce2e205363de4ac9c4250a35cd1764ce9b605657c1b7b91b148	Matei 16:13-20	ἐκκλησία	adunare, comunitate; aici, Biserica pe care Hristos o numește a Sa.	unique	G1577 ἐκκλησία	assembly @ TBESG line 1717
40	e3e784054c9e71e9e430b852ab89c801c8404a48f03acce89c34448289fe7be5	sha256:3e3806e3624c7f3b70489550ccafdd7d4f2ac17112de1c05d5eb9a9633f1bcf3	Matei 16:24-28	ἀπαρνησάσθω ἑαυτόν	să se lepede de sine: să renunțe la revendicarea autonomiei și a stăpânirii de sine.	unique	G0533 + G1438 ἀπαρνέομαι ἑαυτοῦ	to deny; themself @ TBESG line 641 + TBESG line 1570
41	bdf6d26030f9121d232bd4ac87abc5f5fe35b01c62c4daa8eb6fc07cc07cdb78	sha256:4b20c714d666d935cc73ba02ce28dd47e692a9a8e3cc9a8179b14f449d77dca2	Matei 18:15-20	ἔλεγξον	arată-i greșeala, mustră-l; în context, confruntarea urmărește câștigarea fratelui.	unique	G1651 ἐλέγχω	to rebuke @ TBESG line 1791
42	4c91735c2591e813c168495b1bed32a1b432c4ee455cb52cf503c87704447c59	sha256:3bf6fd6723de8ef3cad26f140d9ad7b2175cc44785b8cc3475855e88bbb7ae80	Matei 18:21-35	μυρίων ταλάντων	zece mii de talanți, o datorie intenționat uriașă și imposibil de achitat.	unique	G3463 + G5007 μύριοι τάλαντον	myriad; talent @ TBESG line 3576 + TBESG line 5159
43	9f5bb5ce31cd3c344aebd13ef1772585841fccb30f00a75ec510889541697f38	sha256:cd8ec3fc9b27a196130b64cdcd7544005c73b4600180eb0f81c8a19b96bf62a6	Matei 19:1-12	πορνεία	Imoralitate sexuală. Termenul are un câmp mai larg decât adulterul și cere interpretare în contextul întregii Scripturi.	unique	G4202 πορνεία	sexual sin @ TBESG line 4331
44	9ef227b874b6e3ae8b5395176ab5e0416c4c05a0d2125559e4bb7e2d49e729b3	sha256:861cf9cda4e7e24583e19b2df72a486fb34dde18fdf1245d6f5d2d546ced67a8	Matei 20:1-16	ὀφθαλμός ... πονηρός	literal, «ochi rău»; în context, exprimă invidia față de bunătatea stăpânului.	unique	G3788 + G4190 ὀφθαλμός πονηρός	eye; evil/bad @ TBESG line 3906 + TBESG line 4319
45	5600aa6f3f750f731b50cb0f5d6e0648820cd9906cd2eb27c0b786f53976cb73	sha256:cca309a0cde0f5917896fb90c9f6efdba89504ab1ac034669c1a8237aa2ed754	Matei 20:17-28	λύτρον	Preț de eliberare sau răscumpărare plătit pentru un rob ori un captiv.	unique	G3083 λύτρον	ransom @ TBESG line 3285
46	54775064e5a10b14543330a4b024d358eed3413a33078ad7a0ce964ff00b882e	sha256:d432d2e7d236d373d054d9630591b9d2f5a7da2e9e210821a8a3a3f32b534360	Matei 21:1-11	ὡσαννά	Redarea grecească a unei expresii ebraice: «Mântuiește, te rugăm», devenită și strigăt de laudă adresat regelui așteptat.	unique	G5614 ὡσαννά	Hosanna @ TBESG line 5789
47	dabe61095b009d96a95aa956541e6fd43ca9b15dd7326e50f3fb1a0b1db058c4	sha256:b73b8b4215112aab08c0760608c3a2aeb98e7d9fad549b20817b0273a6265532	Matei 26:17-30	διαθήκη	Legământ: relația stabilită de Dumnezeu, aici pecetluită prin sângele lui Isus.	unique	G1242 διαθήκη	covenant @ TBESG line 1374
48	9140fd3c93532f56aef317601538d615ea42b28573bf7e32ba11d0fbabd57e9d	sha256:5ca7b96461937f754ee63121107ab209aeb546b0830a515f81ed50c55a3b104d	Matei 28:16-20	μαθητεύσατε	faceți ucenici; verbul μαθητεύω înseamnă a face pe cineva ucenic.	unique	G3100 μαθητεύω	to disciple @ TBESG line 3302
49	4cabede9378668b80beea65a063e072271083ab5f9fd18131fa0f66cbe2cee66	sha256:a10f2f61eed1c2de256b06f6350d242156b6ffc4e35c342da635eeed843bda69	Marcu 1:1-3	εὐαγγέλιον	veste bună, veste binevestitoare. Evanghelia nu este o colecție de sfaturi, ci o veste care se primește și se crede.	unique	G2098 εὐαγγέλιον	gospel @ TBESG line 2240
50	e4f425366911143a65da752424c235a15ce25d3db86ed12b6d2fc9e3de6a4d8f	sha256:3e9e195893b43b773ea097026f4878d8dcba2506aa4031c07e257f741b2529b4	Marcu 1:4-8	μετανοέω	îmi schimb felul de gândire, mă întorc. Pocăința nu este numai părere de rău, ci o întoarcere care schimbă drumul.	unique	G3340 μετανοέω	to repent @ TBESG line 3453
51	ecb27309d70b6182e7204f8ee0d6092073724d6ea5bc7ef0cffe77fb34a6f9db	sha256:9fe397aea0a5c16be46b4357401bb2b50adbcaedaaaafd64588dfc8081d10720	Marcu 1:4-8	βαπτίζω	a cufunda, a scufunda; în uzul Noului Testament, a boteza. Câmpul lexical descrie sensul cuvântului; aplicația doctrinară a botezului rămâne în explicația pasajului.	unique	G0907 βαπτίζω	to baptize @ TBESG line 1025
52	336e8415cbab17384021f7d1f3128a0a520002061fc5f1892726ca47bfc0b65e	sha256:6e341e767c779d72300350c6b517b673102f090c61ae43429fc34800a5813a8e	Marcu 1:14-20	δεῦτε ὀπίσω μου	veniți după Mine; literal, «veniți» + «după/în urma» + «Mine».	unique	G1205 + G3694 + G1473 δεῦτε ὀπίσω ἐγώ	come; after; I/we @ TBESG line 1337 + TBESG line 3810 + TBESG line 1605
53	cff0d6314855254bc29c096abd7d7adf015de68e6a7cb397d4eac1d9cdbb8417	sha256:e5f96e9fe3cbb74e86ab8cbde68820f8e4e1ecdb32caea65b35da6ff08a8cf46	Marcu 1:21-28	ἐξουσία	autoritate, drept, putere de a acționa; în context, autoritatea reală a lui Isus.	unique	G1849 ἐξουσία	authority @ TBESG line 1990
54	52314782915afa1d76c115164228d2ac6554f78e245a2bbbf9c386d527912fcc	sha256:65f8e6477b5895aaff67de09d753c76e6b7cb836435be90c093de28c7184aa86	Marcu 3:1-6	ὀργή	mânie, indignare. În Marcu 3:5 termenul denumește mânia lui Isus; mâhnirea față de împietrirea inimii este exprimată separat în propoziție.	unique	G3709 ὀργή	wrath @ TBESG line 3826
55	3fbafc743a77e986e9fa3b79e9557ef75ec7235eef9b0d7aabf17872356343ee	sha256:c0d86377ad199d36557f1dbc3c58a6e56635788f8f1e1d26c26db37e3d6a2720	Marcu 3:13-19	μετ' αὐτοῦ	cu El. Scopul dintâi al chemării nu era lucrarea, ci apropierea: întâi stau cu El, apoi sunt trimiși (Marcu 3:14).	unique	G3326 + G0846 μετά αὐτός	with/after; it/s/he @ TBESG line 3439 + TBESG line 958
56	513ec04445e482410cff196b4602feea668b788de79c766ab8136c83d3dc6c30	sha256:e4cac63acf20b101f38c5362201bb6babdcc953a8a92eb1e77c60115d7e4ef0a	Marcu 3:20-30	βλασφημέω	a huli, a defăima, a vorbi insultător; în context, împotrivirea verbală față de lucrarea Duhului.	unique	G0987 βλασφημέω	to blaspheme @ TBESG line 1109
57	c1df2ba9f2f8a168f6c5dccbf1e8242f533a4d4764db0e643de98911eee876ad	sha256:7a60b12de28b1a2e28a3b9e8f5abce50be937e4b4710ec499f4835495fe0ab4d	Marcu 4:10-12	μυστήριον	taină, mister, secret; în Noul Testament poate desemna ceva ascuns și apoi descoperit de Dumnezeu.	unique	G3466 μυστήριον	mystery @ TBESG line 3579
58	3095d72c7c76fc2c98e06dfd2926aec023a74a46fcad3751a9cd1013a44359c5	sha256:528ce961809b31f9ff17fd6a09c5d711c6067f465da57c33df134e48b6cec2a2	Marcu 4:26-29	αὐτομάτη	de la sine, de ea însăși. Pământul rodește singur: creșterea nu este silită și nu este făcută de om, ci este lucrarea lui Dumnezeu.	unique	G0844 αὐτόματος	by itself @ TBESG line 956
59	2bc6a9d1a7adbe2d6ecaa32ac19bcc38150f39ef74521a550e79e3746fe93bf4	sha256:8526596dba0dc41f5d1988dca9a72d6387c224365f796a4a84b8525d07600e89	Marcu 5:1-20	λεγιών	legiune; termen latin pentru o mare unitate militară romană, folosit aici ca nume care sugerează un număr foarte mare.	unique	λεγιών	@ TFLSJ line 3174
60	44a672bb9333f93d5541d576a9344897f38fc933ff6dab12f84b84f4390c3c8d	sha256:84b58c98b68c66231b0584b8bd39df704f6a721a8757d8cd8d7a8ff34f77f151	Marcu 5:21-34	σώζω	a salva, a mântui, a izbăvi; în unele contexte, a vindeca.	unique	G4982 σῴζω	to save @ TBESG line 5134
61	dfea4ce8ca1cdf0f2e562cd925bb0f819a797592580b6a895d8a4ea40c76c5b1	sha256:17f23145972e3eaf09e4ecc02ca0f99f72ce1b624e88bfbeb58af7928cb32dce	Marcu 5:35-43	καθεύδω	a dormi; aici Isus folosește somnul ca imagine pentru moarte.	unique	G2518 καθεύδω	to sleep @ TBESG line 2699
62	7a19343c84d092b395d91237d7e10f7e840593510e18e4670fc5533015cf25b6	sha256:218b3856d9c9553d9b177d99e95dabe1e2df1d77ca9c3cfd95dae3c008158b92	Marcu 6:45-52	ἐγώ εἰμι	Eu sunt. În mijlocul fricii, Isus nu oferă întâi o explicație, ci propria Sa prezență.	unique	G1473 + G1510 ἐγώ εἰμί	I/we; to be @ TBESG line 1605 + TBESG line 1650
63	e7788d184a958570e5a9c6c3870a9c579ae0761675706f694da2913c66f18026	sha256:5fed2738c98a7a1ff585016201815ea19b4fcd6667074049fdc61d02b9155abf	Marcu 8:11-21	ζύμη	aluat. O fărâmă de aluat dospit preface tot aluatul; Isus folosește cuvântul pentru o influență care pătrunde nevăzut și stăpânește inima.	unique	G2219 ζύμη	leaven @ TBESG line 2364
64	debd6170f74486b4b08cb77af9b65f105a58743bcdeb29ac08bd594c721033ce	sha256:8a23b1365f495c4ee514744370c69d9e064627d4abd900f2bf8f08be68edefcf	Marcu 8:27-30	Χριστός	Unsul; titlul grecesc corespunzător lui Mesia/Hristos.	unique	G5547 Χριστός	Christ @ TBESG line 5715
65	55b6490098841a61dc1c3fa9ac3ac7719233a13d395679c9ba63475cf9bea4c5	sha256:9d91c51036bb6f8b813ad015fac0f16372f2cc192e6d087ae88a57bb40580f48	Marcu 8:31-38	ψυχή	suflet, viață, persoană sau sine, după context; în Marcu 8 sensul are legătură cu viața/sinele pe care omul încearcă să-l păstreze.	unique	G5590 ψυχή	soul / soul: life / soul: myself / soul: person / soul: animal @ TBESG lines 5761-5765
66	f597533b98715880147d07a012d839b62657b759cfbd4c0a67ed5ddddc3085e1	sha256:5672a5ad419bc8016f52e938a3b3a14878dd60aca05fb6b69a56e7d7ad4b18ed	Marcu 10:32-45	λύτρον	preț de răscumpărare plătit pentru eliberarea unui rob sau captiv.	unique	G3083 λύτρον	ransom @ TBESG line 3285
67	2f85d5d77570edf90d40cab82b7189d1731bda094fc7ac2f6e79b1204bf4d37e	sha256:a971144782be2e5f72ff669ef6b92d1160cbc98e76fe7444cf67137e1501dd9b	Luca 1:26-38	ῥῆμα	cuvânt, rostire, declarație; în context, cuvântul sau promisiunea lui Dumnezeu.	unique	G4487 ῥῆμα	declaration @ TBESG line 4620
68	38b1b7ef4b685c053c73248d6e62d7a72373e25edac0b038e8bbed094ac90ca7	sha256:fc99bedd0fd8a5b2fe475d8796547a423f8f974f1ac20c35517afc3183fdbee6	Ioan 1:1-5	Λόγος	cuvânt, mesaj, rostire; în Ioan 1, «Cuvântul» este titlul folosit pentru Persoana prezentată în pasaj.	unique	G3056 λόγος	word @ TBESG line 3258
69	ab5cd5548504d388c5abcf41c625febd45e2648c7791321fdbd6a3eb6de56d05	sha256:53c1d206d27e11672c69675c775eb439a495a68a87a72dbbb64bdfde90b46032	Ioan 1:1-5	ζωή	viață. La Ioan, nu numai suflare biologică, ci viață deplină care este în Fiul și se dăruiește prin El.	unique	G2222 ζωή	life @ TBESG line 2367
70	22c0c6b8171207b28cb8e55d7e9655befb1a3690155a2a71eff9ac7c3a343e87	sha256:fc7c0d33afebec9ecc9550c0a2ff478b4d0239f1875702bf699ac23881678401	Ioan 1:1-5	φῶς	lumină; în context, imagine pentru descoperire și călăuzire.	unique	G5457 φῶς	light @ TBESG line 5623
71	8f58c4adaf2058a38410dc091737bce5619d602e2dc6446e3a576d88a5155a7a	sha256:87b6f78707a6009d7323bfa4201c394c3353a6eb2d64d7822a444f4a29c4c128	Ioan 1:6-13	μαρτυρία	mărturie. Spunerea adevărului despre cine este Cineva.	unique	G3141 μαρτυρία	testimony @ TBESG line 3351
72	4f0456c57b8b1cfb43cdfff97cdcbbb1a8fc34afe6c6640fffc4c6e74dcdc98f	sha256:fa113aaa378cc23e47063a737896ecd28dc7cd0fc65f24a6d07352be3dcaa88b	Ioan 1:6-13	τέκνα θεοῦ	copii ai lui Dumnezeu. Expresia filiatiei date prin har.	unique	G5043 + G2316 τέκνον θεός	child; God @ TBESG line 5195 + TBESG line 2465
73	20e2584ac69fa1cf5131d9874a4a97b2838e93e3d1ea5d3d3ea754e623b663eb	sha256:492d907fc6957cf322c5fb778a258feb69c503557a5e9379aa6dfa3b17cf8863	Ioan 1:6-13	ἐκ θεοῦ	din Dumnezeu. Originea noii nasteri nu este omeneasca, ci dumnezeiască.	unique	G1537 + G2316 ἐκ θεός	out from; God @ TBESG line 1677 + TBESG line 2465
74	244f0b0286e214f8e7d040f846adb4080d65979d8c8ce47340be8ec69eb70146	sha256:7f4c1c4ce61c16058ac4a705db99feedbc3f6eb30d5ed907ada055f345ba19f6	Ioan 1:14-18	σὰρξ	trup, carne. Aici arată omenitatea adevărată asumată de Fiul.	unique	G4561 σάρξ	flesh @ TBESG line 4698
75	55ecf76dae024fb60633128d520ef1d00610e7fcd266b13fe4580efebfb082f4	sha256:51ff7692e690b37c9f57d4866ce1726ee2dec1518b6525e23398e4145756e013	Ioan 1:14-18	ἐσκήνωσεν	a locuit, și-a întins cortul. Cuvânt care trimite spre prezența lui Dumnezeu în mijlocul poporului.	unique	G4637 σκηνόω	to dwell @ TBESG line 4783
